Linux 6.17.0-19-generic (prateek) 	29/03/26 	_x86_64_	(8 CPU)

05:18:26 PM IST  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:18:37 PM IST    0    0.98    0.00    1.96    0.00    0.00    2.94    0.00    0.00    0.00   94.12
05:18:37 PM IST    1   86.14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   13.86
05:18:37 PM IST    2    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
05:18:37 PM IST    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:18:37 PM IST    4    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
05:18:37 PM IST    5   17.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   83.00
05:18:37 PM IST    6  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:18:37 PM IST    7  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00

05:18:37 PM IST  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:18:38 PM IST  all   39.30    0.00    1.63    0.00    0.00    0.25    0.00    0.00    0.00   58.82
05:18:38 PM IST    0    0.00    0.00    7.00    0.00    0.00    2.00    0.00    0.00    0.00   91.00
05:18:38 PM IST    1   84.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   14.00
05:18:38 PM IST    2    7.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   92.00
05:18:38 PM IST    3   62.38    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   36.63
05:18:38 PM IST    4    2.02    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   95.96
05:18:38 PM IST    5   19.19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   80.81
05:18:38 PM IST    6  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:18:38 PM IST    7   39.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   61.00

05:18:38 PM IST  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:18:39 PM IST  all   38.38    0.00    0.50    0.00    0.00    0.25    0.00    0.00    0.00   60.88
05:18:39 PM IST    0    0.99    0.00    2.97    0.00    0.00    1.98    0.00    0.00    0.00   94.06
05:18:39 PM IST    1  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:18:39 PM IST    2    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
05:18:39 PM IST    3  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:18:39 PM IST    4    3.03    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   96.97
05:18:39 PM IST    5    0.99    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   98.02
05:18:39 PM IST    6  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:18:39 PM IST    7    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00

05:18:39 PM IST  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:18:40 PM IST  all   37.92    0.00    1.00    0.13    0.00    0.25    0.00    0.00    0.00   60.70
05:18:40 PM IST    0    0.00    0.00    5.05    0.00    0.00    2.02    0.00    0.00    0.00   92.93
05:18:40 PM IST    1   10.10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   89.90
05:18:40 PM IST    2    0.99    0.00    1.98    0.99    0.00    0.00    0.00    0.00    0.00   96.04
05:18:40 PM IST    3  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:18:40 PM IST    4    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98
05:18:40 PM IST    5   90.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   10.00
05:18:40 PM IST    6  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:18:40 PM IST    7    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01

05:18:40 PM IST  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:18:41 PM IST  all   38.00    0.00    0.62    0.12    0.00    0.25    0.00    0.00    0.00   61.00
05:18:41 PM IST    0    0.98    0.00    3.92    0.00    0.00    1.96    0.00    0.00    0.00   93.14
05:18:41 PM IST    1    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
05:18:41 PM IST    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:18:41 PM IST    3  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:18:41 PM IST    4    3.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   96.00
05:18:41 PM IST    5  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:18:41 PM IST    6  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:18:41 PM IST    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

05:18:41 PM IST  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:18:42 PM IST  all   37.83    0.12    0.50    0.00    0.00    0.25    0.00    0.00    0.00   61.30
05:18:42 PM IST    0    0.00    0.00    2.00    0.00    0.00    2.00    0.00    0.00    0.00   96.00
